Date,Open,High,Low,Close,Volume,Amount
2010-01-04,23.2115,23.2533,22.5171,22.5422,293640.12,1603219.301
2010-01-05,22.6008,23.0902,22.0905,22.8267,360157.62,1951983.4
2010-01-06,22.7556,22.9647,22.2954,22.3414,332046.02,1791272.562
2010-01-07,22.3373,22.5088,21.6973,21.9273,365418.19,1927019.007
2010-01-08,21.9273,21.9273,21.4588,21.7976,323021.82,1672256.054
2010-01-11,22.7974,22.9647,21.7307,21.9064,501400.45,2670503.696
2010-01-12,21.7516,22.1699,21.3793,22.1114,378249.95,1967296.214
2010-01-13,21.6261,21.7516,21.028,21.0489,584784.57,2982410.724
2010-01-14,21.2497,21.5425,20.8732,21.325,369263.84,1864709.187
2010-01-15,21.3333,21.4797,20.9569,21.3668,258192.86,1312113.016
2010-01-18,21.2371,21.2371,20.8899,21.0531,417561.26,2096539.352
2010-01-19,21.028,21.4588,21.0238,21.1576,340863.44,1728482.241
2010-01-20,21.2078,21.2622,20.4465,20.48,395865.83,1967789.991
2010-01-21,20.5386,21.0824,20.4591,20.8858,307936.57,1525533.255
2010-01-22,20.4967,21.1869,20.2876,20.9025,437983.22,2168366.968
2010-01-25,20.6641,21.1995,20.5888,20.8105,225152.2,1126487.973
2010-01-26,20.823,20.9108,20.2876,20.3461,229192.41,1125299.581
2010-01-27,20.4173,20.4925,19.8693,19.9153,241378.78,1161090.258
2010-01-28,19.9404,19.9655,19.4259,19.5723,310264.83,1458396.142
2010-01-29,19.5346,19.8651,19.2418,19.4384,308661.75,1444063.444
2010-02-01,19.6434,20.0701,19.4803,20.0157,533189.36,2517581.806
2010-02-02,20.0784,20.6766,19.8065,19.8484,379894.79,1835316.032
2010-02-03,19.9739,20.8523,19.8275,20.8439,548633.58,2685926.55
2010-02-04,20.5804,20.8356,20.4382,20.6222,266131.81,1312359.241
2010-02-05,20.1872,20.3503,20.0784,20.1077,238614.29,1150527.232
2010-02-08,20.091,20.3671,19.9153,20.1161,175710.05,847341.947
2010-02-09,20.1788,20.5386,20.0784,20.3838,185027.01,900331.181
2010-02-10,20.5804,20.9569,20.5804,20.9234,316774.55,1579479.629
2010-02-11,20.9067,21.1033,20.7979,20.8732,170187.56,852491.378
2010-02-12,20.9987,21.0782,20.8607,20.9485,156503.7,784373.958
2010-02-22,20.9108,20.9108,20.5176,20.5302,191121.9,947411.987
2010-02-23,20.0324,20.0324,18.4763,18.7064,1633908.1,7326993.689
2010-02-24,18.4889,18.7315,18.4052,18.6604,672238.86,2987057.854
2010-02-25,18.7608,19.062,18.7106,18.9156,614586.59,2775679.972
2010-02-26,18.8444,19.0578,18.7524,18.8319,487191.6,2200839.829
2010-03-01,19.2335,19.6099,18.9532,19.5346,567013.76,2616181.552
2010-03-02,19.5346,19.6518,19.3715,19.4844,335992.79,1564937.643
2010-03-03,19.5054,19.5765,19.2167,19.4175,260003.87,1200550.511
2010-03-04,19.4342,19.5221,18.8277,18.8486,316422.61,1452330.382
2010-03-05,18.949,19.1163,18.8654,19.0285,249153.48,1131918.722
2010-03-08,19.0745,19.3841,18.9992,19.3088,226995.56,1045515.695
2010-03-09,19.3213,19.9529,19.1163,19.681,419128.42,1966560.972
2010-03-10,19.6852,19.9739,19.5974,19.7605,307931.02,1456470.568
2010-03-11,19.7647,19.9571,19.4635,19.6601,218580.44,1027961.522
2010-03-12,19.6518,19.8149,19.497,19.5137,206614.8,969590.492
2010-03-15,19.4928,19.5054,18.9323,19.0787,264180.67,1206486.081
2010-03-16,19.0745,19.2335,18.8319,19.0996,185284.21,842655.216
2010-03-17,19.1833,20.2834,19.1624,20.2123,542471.72,2572077.341
2010-03-18,20.0784,20.3629,20.0366,20.0784,342503.71,1654213.818
2010-03-19,20.0993,20.2876,19.9111,20.2708,246530.96,1185927.248
2010-03-22,20.2541,20.4131,20.1244,20.2416,229700.86,1114155.52
2010-03-23,20.3043,20.3503,19.8693,19.9404,186492.27,894180.177
2010-03-24,20.0408,20.2876,19.9404,20.0241,174730.94,839938.797
2010-03-25,20.0199,20.0199,19.6601,19.7438,157148.78,743771.888
2010-03-26,19.7145,20.4089,19.702,20.1788,285246.67,1377169.96
2010-03-29,20.3712,21.1995,20.3336,21.0154,534401.36,2674552.882
2010-03-30,21.0196,21.3333,20.961,21.2664,340008.13,1723131.042
2010-03-31,21.1869,21.2915,20.9861,21.0824,203797.91,1028863.829
2010-04-01,21.0824,21.5843,21.0824,21.4463,239154.25,1221550.156
2010-04-02,21.5007,21.6931,21.3333,21.5467,176385.06,907552.88
2010-04-06,21.7516,21.806,21.1702,21.3041,202924.31,1041034.328
2010-04-07,21.1953,21.4881,21.0447,21.2622,163406.51,829878.863
2010-04-08,21.2371,21.2371,20.7017,20.7812,245340.44,1229851.543
2010-04-09,20.8941,21.258,20.7937,21.2078,215742.61,1084809.883
2010-04-12,21.2078,21.3166,20.5427,20.8816,308654.49,1544584.742
2010-04-13,20.9276,21.8353,20.9276,21.7056,603602.78,3113389.101
2010-04-14,21.7558,21.8939,21.5425,21.8437,296440.63,1543008.689
2010-04-15,21.7516,22.1197,21.5676,21.9733,304848.8,1594987.597
2010-04-16,21.8353,21.898,21.3333,21.371,242501.28,1248649.221
2010-04-19,21.1242,21.5843,20.5637,20.5846,500767.05,2519922.622
2010-04-20,20.8314,21.3082,20.5386,21.1744,423726.03,2125985.096
2010-04-21,21.2078,21.9022,21.1242,21.76,454960.56,2356458.276
2010-04-22,21.6261,22.1072,21.4588,21.6554,432916.08,2257690.525
2010-04-23,21.7725,22.149,21.3752,21.6554,355425.19,1852355.344
2010-04-26,21.6512,21.7893,21.1995,21.2037,226695.44,1161687.001
2010-04-27,21.0782,21.0782,20.2918,20.7644,385288.33,1896412.195
2010-04-28,20.4549,20.8021,20.3712,20.4925,194854.14,958104.408
2010-04-29,20.7059,20.8607,20.2458,20.2708,183823.5,903803.621
2010-04-30,20.2918,20.7268,19.9529,20.6641,302174.41,1476549.044
2010-05-04,20.3294,20.9569,20.2583,20.6222,217696.37,1076517.165
2010-05-05,20.5218,20.7812,19.8275,20.4005,334527.71,1619772.464
2010-05-06,20.3252,20.3252,19.246,19.3422,383597.64,1808252.94
2010-05-07,18.7859,20.0366,18.7859,19.3799,377703.23,1758768.51
2010-05-10,19.702,20.3336,19.4719,20.1663,363700.84,1730791.139
2010-05-11,20.6431,20.6557,19.451,19.5848,354351.05,1701502.569
2010-05-12,19.4468,20.5176,19.3464,20.3336,634879.18,3062796.962
2010-05-13,20.4925,20.7728,20.1621,20.6557,526301.53,2586801.44
