Date,Open,High,Low,Close,Volume,Amount
2010-01-04,3.9674,4.028,3.9317,3.9852,39080.64,43630.2019
2010-01-05,4.0138,4.1672,3.9959,4.1529,64080.25,73565.7667
2010-01-06,4.1743,4.1743,3.9781,3.9817,48648.55,55431.5645
2010-01-07,3.9924,4.0173,3.8532,3.8675,33957.31,37615.5263
2010-01-08,3.8211,3.9638,3.8211,3.946,23104.83,25260.5687
2010-01-11,3.9638,3.9781,3.8532,3.9353,20395.0,22294.7076
2010-01-12,3.9246,4.0423,3.8818,4.0316,26013.6,29102.8605
2010-01-13,3.946,4.0209,3.8818,3.9067,25126.42,27814.2264
2010-01-14,3.9103,4.0495,3.8925,4.0387,30825.12,34431.1619
2010-01-15,4.0495,4.103,4.0138,4.0459,28164.58,32004.3287
2010-01-18,4.0495,4.1672,4.0316,4.1351,35078.91,40523.938
2010-01-19,4.1351,4.1351,4.0423,4.0495,25322.9,28877.8206
2010-01-20,4.0387,4.0744,3.6748,3.8104,41228.05,45028.8492
2010-01-21,3.8033,3.8853,3.7747,3.8354,23442.98,25173.4486
2010-01-22,3.814,3.896,3.682,3.8318,17560.06,18757.3108
2010-01-25,3.8318,3.8711,3.7569,3.8318,11679.31,12544.0747
2010-01-26,3.8318,3.8318,3.5214,3.5999,18779.38,19304.3588
2010-01-27,3.5999,3.682,3.5071,3.6106,17324.14,17500.36
2010-01-28,3.657,3.657,3.5678,3.6177,9213.45,9339.1281
2010-01-29,3.6177,3.7212,3.5963,3.7141,17196.28,17753.163
2010-02-01,3.7105,3.7176,3.5785,3.6499,9333.64,9496.8377
2010-02-02,3.682,3.7712,3.6463,3.6748,18470.75,19235.2986
2010-02-03,3.6392,3.7605,3.5678,3.7569,18168.57,18825.6732
2010-02-04,3.7605,3.8282,3.7105,3.7926,32613.45,34625.0274
2010-02-05,3.7105,3.7605,3.632,3.6748,14430.64,14912.5247
2010-02-08,3.6677,3.7034,3.6392,3.6748,7572.24,7799.7929
2010-02-09,3.6748,3.6927,3.6534,3.6713,7514.24,7732.0782
2010-02-10,3.6748,3.7355,3.6677,3.7248,9336.45,9701.7976
2010-02-11,3.7248,3.7391,3.6534,3.6606,8300.63,8575.5572
2010-02-12,3.6606,3.7034,3.6463,3.6927,6835.11,7068.1393
2010-02-22,3.6891,3.8175,3.6677,3.7783,33749.57,35742.9406
2010-02-23,3.789,3.9032,3.7141,3.8853,35495.67,38050.9246
2010-02-24,3.8746,4.0602,3.839,4.0387,54209.37,60854.804
2010-02-25,4.053,4.0744,3.9959,4.0459,34500.52,38974.7822
2010-02-26,4.0138,4.1172,4.0138,4.103,39766.11,45569.0118
2010-03-01,4.1208,4.21,4.0887,4.103,51670.38,60239.5241
2010-03-02,4.1101,4.1458,3.9924,4.0316,32230.73,36533.9849
2010-03-03,4.0387,4.103,3.9959,4.103,36585.19,41534.2897
2010-03-04,4.0673,4.1172,3.9531,3.9638,33858.2,38327.4683
2010-03-05,3.8889,3.9924,3.8532,3.8604,30190.03,32907.4615
2010-03-08,3.8604,4.0209,3.8604,4.0173,23443.07,25954.5441
2010-03-09,4.0138,4.028,3.946,3.9959,18551.08,20719.2344
2010-03-10,3.9888,4.028,3.9317,3.9959,16348.91,18241.6294
2010-03-11,4.0138,4.3955,4.0138,4.3955,122100.18,146824.3914
2010-03-12,4.4062,4.4062,4.1172,4.1494,114588.12,135910.4363
2010-03-15,4.1494,4.1743,3.9674,4.0031,39382.66,44450.0906
2010-03-16,3.9888,4.0459,3.9781,4.0387,25255.3,28451.0145
2010-03-17,4.0816,4.1315,4.0066,4.1172,36538.07,41661.3423
2010-03-18,4.1137,4.1386,4.0352,4.053,33776.75,38714.8737
2010-03-19,4.053,4.1565,4.0209,4.1351,40138.38,46219.4508
2010-03-22,4.1529,4.2278,4.103,4.103,44993.88,52449.9309
2010-03-23,4.103,4.1386,3.9959,4.028,34821.02,39437.1327
2010-03-24,4.028,4.053,4.0066,4.0495,21839.45,24688.9818
2010-03-25,4.0352,4.0923,3.9817,3.9852,24170.4,27293.8646
2010-03-26,3.9603,4.0459,3.9424,4.0102,17255.99,19325.2676
2010-03-29,4.0138,4.0994,3.9959,4.0958,19440.34,22056.1143
2010-03-30,4.0958,4.0958,4.0209,4.053,18382.41,20898.657
2010-03-31,4.0637,4.0923,4.0066,4.0566,20213.67,23032.3863
2010-04-01,4.0673,4.21,4.0387,4.1957,52351.44,60788.5298
2010-04-02,4.1922,4.2171,4.1244,4.1494,50331.82,58928.4046
2010-04-06,4.1386,4.1672,4.0637,4.0958,30230.98,34687.3899
2010-04-07,4.0994,4.1708,4.0602,4.1636,30744.03,35438.4138
2010-04-08,4.1708,4.3313,4.1672,4.2171,74479.76,88878.7327
2010-04-09,4.2243,4.2778,4.1672,4.2635,34619.66,41101.378
2010-04-12,4.2671,4.2742,4.1601,4.2029,43242.02,50788.3399
2010-04-13,4.2029,4.2814,3.8175,4.0316,37036.21,42610.5878
2010-04-14,3.9959,4.0673,3.9496,4.0423,24558.39,27591.7608
2010-04-15,4.0423,4.0673,3.9281,3.9531,18064.59,20151.5236
2010-04-16,3.9531,4.0138,3.9531,3.9745,10719.17,11981.9212
2010-04-19,3.9603,3.9603,3.7605,3.7605,19128.03,20690.1065
2010-04-20,3.764,3.814,3.6927,3.7712,15353.9,16089.3579
2010-04-21,3.7819,3.8889,3.7676,3.8639,16298.34,17540.4722
2010-04-22,3.8675,4.0031,3.8639,3.9674,26612.01,29400.9199
2010-04-23,3.9674,3.971,3.8711,3.8889,13069.69,14327.5588
2010-04-26,3.8818,3.8889,3.8104,3.8532,13332.84,14344.5736
