Date,Open,High,Low,Close,Volume,Amount
2019-01-02,3.2788,3.2879,3.188,3.1971,1988996.98,704292.538
2019-01-03,3.188,3.2243,3.1789,3.2152,1470488.62,518947.481
2019-01-04,3.2062,3.2697,3.188,3.2607,2049765.5,728741.218
2019-01-07,3.2788,3.2788,3.2243,3.2425,2268774.69,809767.455
2019-01-08,3.2425,3.2425,3.1971,3.2062,1951065.88,689125.409
2019-01-09,3.2152,3.2516,3.2062,3.2243,2897081.74,1031939.364
2019-01-10,3.2243,3.2334,3.1789,3.188,2737707.73,964822.777
2019-01-11,3.188,3.2062,3.1789,3.2062,2062165.94,725203.785
2019-01-14,3.2062,3.2152,3.1698,3.1789,1659132.96,581765.776
2019-01-15,3.1789,3.2062,3.1698,3.2062,1730631.12,608349.348
2019-01-16,3.1971,3.2062,3.1789,3.1971,1489836.26,523314.379
2019-01-17,3.2062,3.2243,3.1971,3.2062,2493697.7,881590.922
2019-01-18,3.2152,3.2697,3.2062,3.2516,3531703.42,1260595.51
2019-01-21,3.2516,3.297,3.2516,3.2516,2913045.5,1047007.348
2019-01-22,3.2607,3.2607,3.2334,3.2425,1361119.72,485998.433
2019-01-23,3.2425,3.2697,3.2334,3.2607,1654534.0,593241.007
2019-01-24,3.2697,3.2879,3.2607,3.2788,1558177.32,562125.153
2019-01-25,3.297,3.3424,3.2879,3.3333,2761011.5,1010418.186
2019-01-28,3.3515,3.3787,3.3152,3.3424,2207072.45,816000.061
2019-01-29,3.3333,3.3697,3.3152,3.3515,1652011.03,607016.143
2019-01-30,3.3515,3.3606,3.3333,3.3424,1599005.39,589541.813
2019-01-31,3.3606,3.3969,3.3515,3.3787,2513565.05,934017.917
2019-02-01,3.3878,3.3969,3.3606,3.3787,1767724.22,656657.256
2019-02-11,3.3606,3.3697,3.3424,3.3606,2031410.64,750709.178
2019-02-12,3.3697,3.3878,3.3515,3.3787,1868599.7,692541.914
2019-02-13,3.3787,3.4241,3.3606,3.4151,2467423.0,921640.141
2019-02-14,3.4151,3.4151,3.3697,3.3697,2200813.43,820136.608
2019-02-15,3.3697,3.3787,3.3152,3.3152,2669147.52,979209.238
2019-02-18,3.3333,3.3697,3.3242,3.3606,3497139.73,1291055.661
2019-02-19,3.3697,3.3878,3.3333,3.3515,3024879.86,1117491.322
2019-02-20,3.3606,3.3697,3.3424,3.3606,2010684.0,743050.055
2019-02-21,3.3606,3.3787,3.3424,3.3424,2164284.18,799653.602
2019-02-22,3.3333,3.3515,3.297,3.3424,3535105.69,1292181.771
2019-02-25,3.3606,3.5422,3.3515,3.5241,9501898.16,3582437.09
2019-02-26,3.4968,3.515,3.4332,3.4423,7356004.12,2810293.681
2019-02-27,3.4423,3.5331,3.4332,3.4696,6040746.61,2310185.16
2019-02-28,3.4696,3.4786,3.4423,3.4514,3472138.72,1321442.929
2019-03-01,3.4696,3.4968,3.4241,3.4968,5244326.33,1994732.136
2019-03-04,3.515,3.5786,3.4786,3.515,9146999.8,3546599.963
2019-03-05,3.4968,3.5059,3.4696,3.4877,4608603.98,1768245.166
2019-03-06,3.4877,3.5059,3.4696,3.4968,5403515.74,2074415.613
2019-03-07,3.4877,3.4968,3.4423,3.4514,5300423.71,2020204.223
2019-03-08,3.4241,3.4241,3.3515,3.3515,5567635.7,2077322.38
2019-03-11,3.3515,3.3787,3.3424,3.3697,4308452.77,1592813.314
2019-03-12,3.3787,3.4332,3.3697,3.3969,4519019.02,1691736.304
2019-03-13,3.3969,3.3969,3.3515,3.3697,3671297.28,1361750.69
2019-03-14,3.3606,3.3878,3.3515,3.3606,2997455.98,1112082.344
2019-03-15,3.3606,3.3969,3.3606,3.3697,2742606.27,1019270.502
2019-03-18,3.3787,3.4151,3.3606,3.406,3747890.81,1398613.754
2019-03-19,3.4151,3.4241,3.3878,3.3969,2402697.26,900121.44
2019-03-20,3.3878,3.406,3.3697,3.3878,2390197.83,891184.055
2019-03-21,3.3878,3.3969,3.3697,3.3697,2517453.48,937959.126
2019-03-22,3.3787,3.3878,3.3515,3.3787,2285460.09,848079.474
2019-03-25,3.3515,3.3606,3.3242,3.3242,3398433.23,1251644.964
2019-03-26,3.3424,3.3424,3.3152,3.3333,2464385.83,903353.79
2019-03-27,3.3333,3.3697,3.3333,3.3515,2628925.04,969409.852
2019-03-28,3.3424,3.3515,3.3242,3.3333,2068651.01,758626.075
2019-03-29,3.3333,3.3969,3.3242,3.3878,3901971.04,1448110.804
2019-04-01,3.3878,3.4332,3.3787,3.4241,5872666.43,2209430.219
2019-04-02,3.4332,3.4423,3.3878,3.406,4958620.88,1862471.399
2019-04-03,3.3787,3.406,3.3606,3.3969,4463713.99,1660829.372
2019-04-04,3.406,3.4423,3.3969,3.4423,6759445.36,2546212.67
2019-04-08,3.4514,3.4968,3.4241,3.4423,6278431.37,2395207.173
2019-04-09,3.4332,3.4514,3.4151,3.4332,2700147.12,1019951.478
2019-04-10,3.4241,3.4423,3.406,3.4241,2557502.65,961966.854
2019-04-11,3.4241,3.4423,3.3878,3.3878,2773195.32,1041563.747
2019-04-12,3.3878,3.406,3.3787,3.3969,2221906.08,829476.48
2019-04-15,3.4241,3.4786,3.4241,3.4332,5508004.5,2094156.581
2019-04-16,3.4151,3.5331,3.4151,3.5331,7571674.79,2907947.114
2019-04-17,3.515,3.5604,3.4968,3.5241,5028800.17,1953144.232
2019-04-18,3.515,3.515,3.4786,3.4877,2451283.46,943008.095
2019-04-19,3.4877,3.515,3.4786,3.4968,2509753.87,966724.858
2019-04-22,3.4968,3.5059,3.4241,3.4332,3284562.86,1250717.19
2019-04-23,3.4332,3.4514,3.4151,3.4241,3018971.22,1140412.264
2019-04-24,3.4332,3.4423,3.3969,3.4241,3298604.42,1243211.445
2019-04-25,3.4241,3.4241,3.3878,3.3969,3066191.71,1148725.44
2019-04-26,3.3878,3.3969,3.3697,3.3787,2629237.16,979407.237
2019-04-29,3.3878,3.4151,3.3787,3.3969,3247171.49,1214220.866
2019-04-30,3.3878,3.4332,3.3787,3.4151,2927606.94,1098346.536
2019-05-06,3.3697,3.3787,3.2879,3.3152,6101232.06,2238637.428
2019-05-07,3.3333,3.3424,3.3061,3.3242,2757619.47,1009782.207
2019-05-08,3.3061,3.3061,3.2788,3.2788,2456114.04,889276.151
2019-05-09,3.2697,3.2879,3.2516,3.2607,2393865.64,861096.841
2019-05-10,3.2788,3.3333,3.2516,3.3152,3135705.03,1137771.485
2019-05-13,3.297,3.297,3.2607,3.2697,1894966.07,683006.796
2019-05-14,3.2516,3.2788,3.2516,3.2516,2274710.68,816498.843
2019-05-15,3.2697,3.297,3.2516,3.2788,2555841.78,920488.407
2019-05-16,3.2697,3.3061,3.2607,3.2879,2466123.82,891685.824
2019-05-17,3.2879,3.3061,3.2697,3.2788,2896358.62,1049746.466
2019-05-20,3.2697,3.3242,3.2697,3.3152,3123310.77,1137925.425
2019-05-21,3.3152,3.3515,3.3061,3.3333,2275406.72,834813.442
2019-05-22,3.3333,3.3515,3.3242,3.3333,1659859.02,610510.274
2019-05-23,3.3333,3.3515,3.3152,3.3424,2403209.0,882344.374
2019-05-24,3.3424,3.3697,3.3333,3.3515,2090797.71,772260.075
2019-05-27,3.3424,3.3697,3.3242,3.3606,2300336.85,848980.854
2019-05-28,3.3606,3.3878,3.3515,3.3787,3215281.76,1194350.256
2019-05-29,3.3697,3.3787,3.3333,3.3424,2285576.39,843866.6
2019-05-30,3.3515,3.3787,3.3333,3.3697,2043511.16,754138.264
2019-05-31,3.3697,3.3697,3.3333,3.3424,2071238.87,764866.598
2019-06-03,3.3515,3.3878,3.3424,3.3878,2460188.44,912694.46
2019-06-04,3.3878,3.406,3.3787,3.406,2129093.61,795835.03
2019-06-05,3.4151,3.4514,3.406,3.4241,2552371.34,964493.513
2019-06-06,3.4332,3.4332,3.406,3.4241,1436831.3,540935.087
2019-06-10,3.4151,3.4514,3.4151,3.4423,2277941.72,862129.142
2019-06-11,3.4514,3.4696,3.4423,3.4605,2715991.22,1033547.8
2019-06-12,3.4514,3.4786,3.4423,3.4605,2200160.21,837916.344
2019-06-13,3.4696,3.4696,3.4332,3.4332,1990225.85,754366.875
2019-06-14,3.4423,3.4514,3.406,3.4151,2192162.15,826364.547
2019-06-17,3.4151,3.4605,3.406,3.4514,2404319.4,911372.46
2019-06-18,3.4514,3.4786,3.4423,3.4696,3201835.06,1221080.956
2019-06-19,3.5179,3.5179,3.4609,3.4704,4829202.06,1765824.684
2019-06-20,3.4704,3.5084,3.4514,3.4894,5573280.71,2039371.554
2019-06-21,3.4799,3.4894,3.4514,3.4609,4187513.18,1527189.301
2019-06-24,3.4609,3.4799,3.4514,3.4799,2113891.55,770958.792
2019-06-25,3.4704,3.4799,3.4419,3.4609,3168505.5,1153432.515
2019-06-26,3.4609,3.4609,3.4228,3.4419,2416127.37,873957.556
2019-06-27,3.4419,3.4609,3.4324,3.4419,2935329.86,1062950.858
2019-06-28,3.4419,3.4419,3.4038,3.4228,2835837.56,1020321.794
2019-07-01,3.4419,3.4514,3.4324,3.4419,3439892.87,1245433.995
2019-07-02,3.4419,3.4609,3.4324,3.4609,2971126.9,1077676.578
2019-07-03,3.4609,3.4799,3.4419,3.4799,2924186.36,1065842.123
2019-07-04,3.4799,3.4894,3.4609,3.4799,2255482.32,824233.467
2019-07-05,3.4799,3.4799,3.4609,3.4704,1596520.38,581968.132
2019-07-08,3.4609,3.4609,3.4133,3.4228,3154465.19,1137592.277
2019-07-09,3.4228,3.4228,3.4038,3.4038,1850498.96,663897.759
2019-07-10,3.4133,3.4228,3.3943,3.4133,1223500.36,438552.289
2019-07-11,3.4133,3.4228,3.4038,3.4133,1289051.93,462915.218
2019-07-12,3.4228,3.4324,3.4038,3.4228,1659001.85,596835.236
